"","Family","Species","Mean_m","Mean_f","Median_m","Median_f","Maximum_m","Maximum_f","BM_g","n","Type","Source"
"184","Sciuridae","Spermophilus columbianus",NA,NA,2,1.8,"8.5",8.5,NA,"","D","(Wiggett & Boag 1989)"
"185","Sciuridae","Spermophilus columbianus",NA,NA,NA,NA,"0.98",0.98,NA,"","D","(Hackett 1987)"
"186","Sciuridae","Spermophilus parryii plesius",NA,NA,0.241,0.06,"3.82",3.82,NA,"70 m 102 f","D","(Byrom & Krebs 1999)"
"187","Sciuridae","Spermophilus variegatus",NA,NA,NA,NA,"3.9",3.9,NA,"","D","(Ortega 1988)"
"188","Sciuridae","Spermophilus townsendii *",0.515,0.515,NA,NA,"1.076",1.076,NA,"15 m 1f","D","(Olson & Van Horne 1998)"
"189","Sciuridae","Spermophilus richardsonii",NA,NA,NA,NA,"0.975",0.525,NA,"26 m 60 f","D","(Michener & Michener 1977)"
"190","Sciuridae","Spermophilus beecheyi",NA,NA,NA,NA,"1.188",1.188,NA,"427 mf","D","(Evans & Holdenried 1943)"
"191","Sciuridae","Spermophilus beldingi",0.328,0.406,NA,NA,"",NA,NA,"25m 2f","D","(Holekamp 1984)"
"192","Sciuridae","Spermophilus beldingi",0.272,0.259,NA,NA,"",NA,NA,"68 m 12 f","D","(Holekamp 1986)"
"193","Sciuridae","Spermophilus mohavensis",1.536,0.505,1.256,0.213,"6.23",3.862,NA,"15 m 21 f","D","(Harris, Leitner & Edwards 2005)"
"194","Sciuridae","Spermophilus tridecemliniatus",0.083,0.053,NA,NA,"0.249",0.144,NA,"45 m 46 f","D","(Rongstad 1965)"
"195","Sciuridae","Sciurus carolinensis",NA,NA,NA,NA,"4.49",4.49,533,"","H","(Hungerford & Wilder 1941)"
"196","Sciuridae","Sciurus carolinensis",NA,NA,NA,NA,"100",100,533,"","D","(Sharp 1959 in Koprowski 1994)"
"197","Sciuridae","Sciurus niger",0.58,0.622,0.556,0.567,"0.868",1.036,800,"2 mf","D","(Fitch 1958)"
"198","Sciuridae","Sciurus vulgaris",0.255,0.293,NA,NA,"0.73",0.73,600,"21 m 22 f","D","(Wauters & Dhondt 1993)"
"199","Sciuridae","Sciurus vulgaris",0.935,1.104,0.678,0.678,"4.118",4.118,600,"32 m 28 f","D","(Wauters et al. 2010)"
"200","Sciuridae","Tamias sibiricus",0.168,0.083,NA,NA,"0.527",0.933,85,"39 m 66 f","D","(Marmet, Pisanu & Chapuis 2011)"
"201","Sciuridae","Tamias amoenus",NA,NA,NA,NA,"1.6",1.6,NA,"","H","(Broadbooks 1970)"
"202","Sciuridae","Tamias striatus listeri",0.342,0.33,0.274,0.274,"0.64",0.205,NA,"7 m 1 f","D","(Burt 1940)"
"203","Sciuridae","Tamias striatus listeri",NA,NA,NA,NA,"0.64",0.64,NA,"","H","(Layne 1957)"
"204","Sciuridae","Tamias striatus",0.213,0.028,NA,NA,"0.475",0.073,96,"19 m 37 f","D","(da Silva, Mahan & da Silva 2002)"
"205","Sciuridae","Tamias striatus",NA,NA,NA,NA,"0.55",0.55,96,"","H","(Seidel 1961)"
"206","Sciuridae","Tamiasciurus hudsonicus",0.107,0.085,0.06,0.06,"0.6",0.6,200,"94 m 95 f","D","(Berteaux & Boutin 2000)"
"207","Sciuridae","Tamiasciurus hudsonicus loquax",NA,NA,NA,NA,"0.7",0.7,NA,"","H","(Layne 1954)"
"208","Sciuridae","Tamiasciurus hudsonicus",NA,NA,NA,NA,"1.61 mf",NA,200,"","H","(Hamilton 1939)"
"209","Sciuridae","Tamiasciurus hudsonicus",0.09,NA,NA,NA,"0.92",NA,200,"230 mf","D","(Larsen & Boutin 1994)"
"210","Sciuridae","Tamiasciurus hudsonicus",NA,NA,0.315,0.315,"0.26",0.6,200,"2 m 2 f","D","(Sun 1997)"
"211","Gliridae","Muscardinus avellanarius",0.215,0.215,NA,NA,"1.2",1.2,27.3,"174 mf","D","(Juskaitis 1997)"
"212","Gliridae","Muscardinus avellanarius",NA,NA,NA,NA,"3.3",3.3,27.3,"","D","(Schulze in Juškaitis 2008)"
"213","Geomyidae","Thomomys talpoides",NA,NA,NA,NA,"0.79",0.79,NA,"","H","(Vaughan 1963)"
"214","Geomyidae","Thomomys talpoides",NA,NA,NA,NA,"0.7",0.7,NA,"","D","(Daly & Patton in Lidicker Jr &
Patton 1987)"
"215","Geomyidae","Thomomys talpoides",NA,NA,NA,NA,"0.3",0.3,NA,"10 m 14 f","D","(Daly & Patton 1990)"
"216","Heteromyidae","Chaetodipus formosus *",NA,NA,NA,NA,"0.195",0.091,NA,"28 m 18 f","D","(Allred & Beck 1963)"
"217","Heteromyidae","Dipodomys merriami",0.054,0.044,NA,NA,"0.385",0.275,42,"443 m 339
f","D","(Zeng & Brown 1987)"
