"","Family","Species","Mean_m","Mean_f","Median_m","Median_f","Maximum_m","Maximum_f","BM_g","n","Type","Source"
"338","Tarsiidae","Tarsius tarsier",NA,NA,0.66,0.266,"1.301",0.974,NA,"5 m 9 f","D","(Gursky 2010)"
"339","Cheirogaleidae","Microcebus murinus",NA,NA,0.251,0.063,"1",0.321,64.8,"26 m 43 f","D","(Radespiel et al. 2003)"
"340","Callitrichidae","Leontopithecus chrysomelas",NA,NA,NA,NA,"4.5",4.5,535,"","D","(Raboy, Oliveria in Zeigler et al.
2011)"
"341","Callitrichidae","Leontopithecus rosalia",NA,NA,NA,NA,"1",1,654.5,"1 m 1 f","D","(Grativol, Ballou & Fleischer 2001)"
"342","Atelidae","Alouatta palliata",NA,NA,NA,NA,"2",NA,7000,"","H","(Jones 1982)"
"343","Atelidae","Alouatta palliata",NA,1.3,NA,NA,"",3,7000,"5 f","D","(Glander 1992)"
"344","Atelidae","Alouatta seniculus",NA,NA,NA,NA,"3.3",6,6543.2,"1 m 1 f","D","(Crockett 1985)"
"345","Atelidae","Alouatta seniculus",0.275,1.65,NA,NA,"",NA,6543.2,"47 m 45 f","D","(Pope 1992)"
"346","Atelidae","Alouatta pigra",NA,NA,NA,NA,"9",NA,NA,"37 mf","P","(Koontz et al. 1994)"
"347","Aotidae","Aotus azarai",NA,NA,0.656,0.667,"2.243",0.962,NA,"10 m 10 f","D","(Fernandez-Duque 2009)"
"348","Cercopithecidae","Macaca fuscata",7.75,NA,NA,NA,"",NA,8882.5,"4 mf","D","(Koganezawa in Agetsuma 2007)"
"349","Cercopithecidae","Macaca fuscata",NA,NA,NA,NA,"25",NA,8882.5,"1 m","D","(Nishida 1966)"
"350","Cercopithecidae","Lophocebus albigena",NA,NA,NA,NA,"5.5",NA,9317.5,"","D","(Janmaat et al. 2009)"
"351","Hylobatidae","Hylobates lar",0.62,NA,NA,NA,"1",1.4,6810,"5 m 1 f","D","(Brockelman et al. 1998)"
